#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=36619 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:115 out:112 type:P dur:2 cpbdur:2 q:0.00 aq:0.12 tex:1050197 mv:8483 misc:2168 imb:224 pmb:2891 smb:485 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:0.00 aq:0.40 tex:731693 mv:13886 misc:3261 imb:47 pmb:2427 smb:1126 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:0.00 aq:0.62 tex:558454 mv:12235 misc:3367 imb:12 pmb:2299 smb:1289 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:0.00 aq:0.63 tex:555867 mv:11007 misc:3382 imb:13 pmb:2187 smb:1400 d:- ref:0 ;
in:119 out:116 type:P dur:2 cpbdur:2 q:0.00 aq:0.09 tex:878259 mv:7611 misc:3242 imb:189 pmb:2290 smb:1121 d:- ref:0 ;
in:117 out:117 type:B dur:2 cpbdur:2 q:0.00 aq:0.35 tex:634557 mv:12145 misc:3378 imb:30 pmb:2301 smb:1269 d:- ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:0.00 aq:0.57 tex:504283 mv:10763 misc:3386 imb:14 pmb:2248 smb:1338 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:0.00 aq:0.52 tex:482826 mv:9122 misc:3492 imb:10 pmb:2181 smb:1409 d:- ref:0 ;
in:123 out:120 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:863267 mv:7467 misc:3226 imb:152 pmb:2347 smb:1101 d:- ref:0 ;
in:121 out:121 type:B dur:2 cpbdur:2 q:0.00 aq:0.34 tex:594416 mv:10914 misc:3342 imb:24 pmb:2327 smb:1249 d:- ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:0.00 aq:0.58 tex:468955 mv:9093 misc:3464 imb:11 pmb:2190 smb:1399 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:0.00 aq:0.54 tex:437574 mv:8444 misc:3518 imb:7 pmb:2236 smb:1357 d:- ref:0 ;
in:126 out:124 type:P dur:2 cpbdur:2 q:0.00 aq:0.02 tex:2047603 mv:8066 misc:363 imb:363 pmb:3236 smb:1 d:- ref:0 ;
in:124 out:125 type:B dur:2 cpbdur:2 q:0.00 aq:0.34 tex:513585 mv:8295 misc:3232 imb:19 pmb:2495 smb:1086 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:0.00 aq:0.51 tex:461477 mv:6021 misc:3502 imb:8 pmb:2180 smb:1412 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:0.00 aq:0.17 tex:696522 mv:4976 misc:2070 imb:47 pmb:3128 smb:425 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:0.00 aq:0.27 tex:397463 mv:7899 misc:3246 imb:9 pmb:2540 smb:1051 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:0.00 aq:0.51 tex:308551 mv:6963 misc:3422 imb:4 pmb:2314 smb:1282 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:0.00 aq:0.53 tex:265165 mv:5418 misc:3457 imb:5 pmb:2102 smb:1493 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:0.00 aq:0.40 tex:315908 mv:2303 misc:3397 imb:11 pmb:2039 smb:1550 d:- ref:0 ;
in:134 out:132 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:435571 mv:2804 misc:3481 imb:35 pmb:2335 smb:1230 d:- ref:0 ;
in:132 out:133 type:B dur:2 cpbdur:2 q:0.00 aq:0.28 tex:249794 mv:4387 misc:3555 imb:6 pmb:2157 smb:1437 d:- ref:0 ;
